nombre,apellido,edad,genero,pais_origen,estado_civil,num_integrantes_familia,dependientes_menores,profesion,sector_industrial,categoria_profesional,nivel_educativo,tipo_contrato,anos_experiencia,meses_empresa_actual,ingresos_anuales,dinero_banco,deudas_totales,invertido_bolsa,invertido_cripto,invertido_propiedades,patrimonio_neto,score_crediticio,gastos_mensuales,renta_pasiva,ratio_deuda_ingreso,interes_compra_dubai,motivo_compra,presupuesto_max,zona_preferida
Manuel,Ramos,56,Hombre,España,Casado,1,1,Product Manager,Alimentación,Director,Master,Temporal,33,115,165145,175410,48212,120735,0,0,247933,806,2955,0,29.19,Alto,Residencia,1879142,Zona Centro-Negocios
Javier,Alonso,56,Hombre,España,Casado,4,1,Arquitecto,Tecnología,Director,PhD,Freelance,33,147,185479,222263,132859,137374,0,1155006,1381784,747,6098,0,71.63,Alto,Vacacional,5000000,Zona Costa-Premium
Cristina,Molina,33,Mujer,España,Soltero,1,0,Marketing Manager,Automotriz,Director,Master,Freelance,12,155,181898,156654,72622,212824,0,0,296856,721,5746,0,39.92,Bajo,Residencia,2143382,Zona Centro-Negocios
José,Muñoz,31,Hombre,Argentina,Soltero,2,0,Consultor,Consultoría,Mid-Level,Licenciatura,Permanente,8,93,56992,18034,28066,4441,0,0,-5591,630,1434,0,49.25,Medio,Mixto,394644,Zona Tech-Educación
Silvia,Domínguez,61,Mujer,Argentina,Casado,3,2,Product Manager,Salud,Director,Licenciatura,Permanente,40,164,107176,114107,19644,128694,0,877761,1100918,737,1988,0,18.33,Medio,Inversión,5000000,Zona Centro-Negocios
Pablo,García,31,Hombre,México,Soltero,3,0,Director Comercial,Energía,Mid-Level,Licenciatura,Temporal,8,17,63940,47228,11512,23612,8651,0,67979,727,2127,0,18.0,Bajo,Inversión,432140,Zona Residencial-Accesible
David,Martín,56,Hombre,España,Casado,1,2,Product Manager,Retail,Director,Licenciatura,Freelance,33,141,130447,172901,48381,288657,0,0,413177,708,2721,0,37.09,Medio,Mixto,1864252,Zona Centro-Negocios
Andrea,Pérez,33,Mujer,Venezuela,Casado,1,0,Desarrollador,Automotriz,Mid-Level,Licenciatura,Permanente,11,30,65364,61477,45299,0,0,0,16178,668,1822,0,69.3,Bajo,Residencia,690369,Zona Tech-Educación
Teresa,Gil,33,Mujer,España,Casado,4,1,Consultor,Legal,Senior,Master,Freelance,11,74,79239,27969,90993,105573,0,0,42549,595,1529,0,114.83,Bajo,Residencia,744970,Zona Sur-Inversión
Ana,Rubio,31,Mujer,España,Casado,4,1,Data Scientist,Salud,Mid-Level,Licenciatura,Permanente,10,47,38737,7957,38368,15012,0,73870,58471,550,1191,0,99.05,Medio,Residencia,283638,Zona Tech-Educación
David,Alonso,33,Hombre,México,Casado,2,3,Ingeniero Civil,Construcción,Director,Master,Permanente,12,129,126442,55562,36245,105130,8335,0,132782,650,3013,0,28.67,Medio,Mixto,1017203,Zona Residencial-Accesible
Carlos,Díaz,56,Hombre,Colombia,Soltero,3,0,Analista Financiero,Consultoría,Director,Licenciatura,Permanente,34,167,105267,82509,149174,203841,0,0,137176,671,3291,0,141.71,Bajo,Mixto,1566708,Zona Sur-Inversión
Sara,Pérez,56,Mujer,España,Casado,3,1,Profesor Universitario,Alimentación,Director,PhD,Temporal,33,61,183698,109661,177284,279432,0,0,211809,596,4661,0,96.51,Medio,Vacacional,2258472,Zona Centro-Negocios
Jorge,García,61,Hombre,España,Casado,2,3,Piloto,Energía,Director,Master,Temporal,39,86,145769,84927,40720,190485,0,0,234692,631,3004,37292,27.93,Medio,Mixto,1616028,Zona Costa-Premium
Francisco,Ramos,33,Hombre,Chile,Soltero,2,0,Ingeniero Software,Educación,Mid-Level,Licenciatura,Freelance,10,30,50835,19873,28495,55820,27008,0,74206,588,990,0,56.05,Medio,Inversión,564614,Zona Sur-Inversión
Carlos,Vázquez,33,Hombre,México,Casado,2,0,Piloto,Salud,Senior,Master,Temporal,10,131,71038,55133,32041,96732,0,0,119824,704,1305,0,45.1,Bajo,Inversión,774844,Zona Centro-Negocios
Andrés,Gutiérrez,31,Hombre,España,Casado,5,0,Director Comercial,Salud,Mid-Level,Licenciatura,Permanente,8,21,45542,15058,19192,35785,0,0,31651,708,926,0,42.14,Bajo,Vacacional,230834,Zona Tech-Educación
Rosa,Suárez,61,Mujer,Perú,Casado,4,1,Empresario,Construcción,Director,Licenciatura,Permanente,38,122,163410,227824,39299,129266,0,1407938,1725729,849,4729,45066,24.05,Alto,Mixto,5000000,Zona Costa-Premium
Javier,López,33,Hombre,España,Soltero,2,0,Piloto,Finanzas,Mid-Level,Licenciatura,Permanente,11,157,45302,30687,29985,15693,0,183759,200154,609,816,12031,66.19,Medio,Mixto,994575,Zona Sur-Inversión
Patricia,González,33,Mujer,Argentina,Divorciado,1,2,Chef Ejecutivo,Consultoría,Director,Master,Permanente,12,174,152575,93158,63482,161113,0,0,190789,759,3041,27798,41.61,Bajo,Mixto,1446330,Zona Sur-Inversión
Sergio,Castro,61,Hombre,España,Casado,4,1,Profesor Universitario,Educación,C-Level,PhD,Freelance,40,47,298149,401734,44184,250347,0,2525134,3133031,729,5730,45088,14.82,Alto,Mixto,5000000,Zona Costa-Premium
Andrea,Muñoz,33,Mujer,España,Divorciado,3,2,Director Comercial,Educación,Director,Master,Permanente,12,141,127342,90552,57392,122954,0,0,156114,799,2762,0,45.07,Medio,Inversión,1404458,Zona Sur-Inversión
María,López,33,Mujer,España,Casado,2,1,Profesor Universitario,Turismo,Director,Master,Freelance,12,102,171958,124246,39543,0,0,0,84703,724,4487,0,23.0,Bajo,Residencia,1850425,Zona Sur-Inversión
Luis,Jiménez,31,Hombre,Argentina,Soltero,1,0,Contador,Energía,Senior,Master,Temporal,8,84,85137,64633,10864,56295,0,0,110064,641,1580,0,12.76,Medio,Inversión,453221,Zona Sur-Inversión
Beatriz,Fernández,33,Mujer,España,Soltero,3,0,Ingeniero Software,Aeroespacial,Senior,Master,Freelance,10,66,99503,105675,56402,0,0,493115,542388,682,2299,16903,56.68,Medio,Mixto,2272004,Zona Costa-Premium
Cristina,Alonso,61,Mujer,México,Divorciado,2,0,Arquitecto,Tecnología,Director,Licenciatura,Temporal,40,146,112975,207784,54017,0,26167,0,179934,641,3409,0,47.81,Bajo,Residencia,1525253,Zona Centro-Negocios
Marta,Domínguez,33,Mujer,Venezuela,Casado,3,0,Analista Financiero,Retail,Senior,Licenciatura,Permanente,12,148,88880,99601,75948,0,0,0,23653,598,1535,0,85.45,Bajo,Residencia,1061724,Zona Residencial-Accesible
Beatriz,Muñoz,31,Mujer,Chile,Soltero,3,0,Médico,Alimentación,Mid-Level,Licenciatura,Permanente,9,173,45461,21413,16692,0,0,0,4721,551,1017,0,36.72,Medio,Mixto,289270,Zona Residencial-Accesible
Cristina,Hernández,31,Mujer,España,Divorciado,3,1,Médico,Retail,Mid-Level,Bachillerato,Permanente,8,14,55408,9853,26505,14952,0,0,-1700,666,995,0,47.84,Bajo,Inversión,293000,Zona Residencial-Accesible
Carmen,Ramírez,33,Mujer,España,Casado,3,2,Analista Financiero,Construcción,Senior,Master,Permanente,10,114,94092,69050,41306,0,0,0,27744,751,2691,14568,43.9,Medio,Residencia,1027863,Zona Residencial-Accesible
Manuel,García,33,Hombre,México,Soltero,3,0,Data Scientist,Consultoría,Mid-Level,Licenciatura,Permanente,11,90,68769,72750,17928,63409,8382,339709,466322,586,2259,0,26.07,Medio,Inversión,2138613,Zona Centro-Negocios
Ricardo,Rodríguez,31,Hombre,España,Casado,1,1,Diseñador,Aeroespacial,Mid-Level,Licenciatura,Permanente,8,125,59287,21895,36840,27651,0,139182,151888,660,1045,6968,62.14,Alto,Inversión,440231,Zona Centro-Negocios
Antonio,Romero,33,Hombre,Ecuador,Casado,3,0,Marketing Manager,Inmobiliario,Director,Master,Permanente,12,44,174247,174564,57018,115481,57466,835791,1126284,657,4514,0,32.72,Alto,Residencia,4041851,Zona Costa-Premium
Rafael,Ortiz,33,Hombre,Ecuador,Soltero,1,0,Contador,Telecomunicaciones,Director,Master,Permanente,12,21,176197,197696,29191,229806,12880,0,411191,659,3411,0,16.57,Medio,Residencia,1457699,Zona Centro-Negocios
David,Rodríguez,56,Hombre,España,Casado,2,1,Ingeniero Civil,Telecomunicaciones,Director,Master,Temporal,33,23,147898,134529,154512,0,0,0,-19983,561,4745,0,104.47,Bajo,Residencia,1564057,Zona Costa-Premium
Andrés,Fernández,31,Hombre,España,Soltero,2,0,Ingeniero Civil,Energía,Mid-Level,Licenciatura,Temporal,8,118,62137,30671,42639,16906,9055,0,13993,590,1042,0,68.62,Medio,Inversión,374864,Zona Residencial-Accesible
Sara,Álvarez,56,Mujer,Perú,Casado,3,0,Abogado,Tecnología,Director,Master,Permanente,33,154,150465,279508,88018,297073,0,0,488563,662,3453,17372,58.5,Alto,Mixto,2162886,Zona Sur-Inversión
Francisco,Fernández,33,Hombre,Chile,Casado,3,1,Consultor,Inmobiliario,Mid-Level,Bachillerato,Permanente,11,3,33361,18445,33311,35455,0,178670,199259,599,958,0,99.85,Bajo,Residencia,766100,Zona Sur-Inversión
Francisco,Gómez,33,Hombre,México,Casado,3,0,Contador,Alimentación,Director,Master,Permanente,12,66,164660,170702,81905,0,0,0,88797,725,4564,0,49.74,Medio,Inversión,1919147,Zona Sur-Inversión
Clara,Navarro,61,Mujer,España,Casado,1,2,Ingeniero Software,Telecomunicaciones,Director,Licenciatura,Permanente,39,113,168497,205975,11839,284879,0,0,479015,819,4029,0,7.03,Bajo,Inversión,2449171,Zona Centro-Negocios
Antonio,Domínguez,31,Hombre,España,Casado,2,2,Ingeniero Civil,Alimentación,Mid-Level,Licenciatura,Freelance,9,13,67209,16807,41921,41934,16883,245080,278783,573,1696,0,62.37,Alto,Vacacional,649021,Zona Tech-Educación
Ana,Rodríguez,33,Mujer,Perú,Casado,2,1,Consultor,Construcción,Mid-Level,Licenciatura,Permanente,11,123,40237,33736,54919,39916,3628,0,22361,550,769,0,136.49,Bajo,Inversión,412112,Zona Centro-Negocios
David,González,33,Hombre,España,Viudo,2,0,Abogado,Finanzas,Senior,Master,Permanente,10,14,120010,126704,62892,148760,19739,0,232311,595,2318,0,52.41,Bajo,Inversión,1116947,Zona Centro-Negocios
Beatriz,Domínguez,33,No-binario,Chile,Casado,3,0,Marketing Manager,Alimentación,Senior,PhD,Permanente,11,93,87182,83737,65035,121676,0,507218,647596,550,2587,24336,74.6,Alto,Inversión,2316940,Zona Centro-Negocios
Sara,Gil,33,Mujer,España,Viudo,1,0,Empresario,Salud,Mid-Level,Licenciatura,Permanente,11,84,40300,26094,34314,47409,11147,0,50336,637,972,0,85.15,Medio,Mixto,431765,Zona Sur-Inversión
Sergio,Sánchez,31,Hombre,Perú,Casado,2,1,Abogado,Construcción,Mid-Level,Licenciatura,Permanente,9,134,38885,7029,38495,0,0,144867,113401,597,909,8491,99.0,Alto,Vacacional,282970,Zona Residencial-Accesible
Francisco,Ortiz,56,Hombre,México,Soltero,4,0,Abogado,Consultoría,C-Level,PhD,Permanente,35,21,238427,241118,113470,311163,0,0,438811,784,4427,49291,47.59,Bajo,Inversión,3418195,Zona Centro-Negocios
Mónica,Fernández,33,Mujer,España,Casado,3,0,Diseñador,Turismo,Mid-Level,Licenciatura,Permanente,10,71,48425,18428,40137,12636,3805,0,-5268,653,1413,0,82.88,Bajo,Inversión,449437,Zona Sur-Inversión
Mónica,Domínguez,56,Mujer,España,Soltero,3,0,Diseñador,Tecnología,Director,Licenciatura,Permanente,35,131,104924,188797,131059,137121,0,0,194859,550,2670,19797,124.91,Bajo,Inversión,1447537,Zona Sur-Inversión
Cristina,Ramos,31,Mujer,México,Casado,4,1,Marketing Manager,Aeroespacial,Mid-Level,Licenciatura,Permanente,9,58,41353,18734,27639,22414,3306,0,16815,550,1119,0,66.84,Bajo,Inversión,253950,Zona Sur-Inversión
Raquel,Gil,31,Mujer,España,Casado,2,0,Consultor,Salud,Mid-Level,Licenciatura,Permanente,8,140,50288,15389,42253,5828,1996,0,-19040,662,1092,0,84.02,Bajo,Inversión,386183,Zona Tech-Educación
David,Serrano,56,Hombre,Argentina,Divorciado,3,2,Abogado,Tecnología,Director,Licenciatura,Permanente,33,47,108839,61283,159390,61538,0,0,-36569,628,2146,14131,146.45,Bajo,Inversión,1438560,Zona Centro-Negocios
David,Serrano,31,Hombre,España,Soltero,1,0,Desarrollador,Retail,Mid-Level,Licenciatura,Temporal,10,107,59553,18595,10636,1084,0,0,9043,677,1635,0,17.86,Bajo,Vacacional,300054,Zona Tech-Educación
Rafael,Navarro,56,Hombre,España,Divorciado,1,2,Ingeniero Software,Turismo,C-Level,PhD,Temporal,34,17,231524,182494,97186,0,0,0,85308,727,5949,38979,41.98,Medio,Mixto,3217435,Zona Costa-Premium
Clara,Martín,31,Mujer,México,Divorciado,2,0,Médico,Consultoría,Mid-Level,Licenciatura,Freelance,8,20,53349,24950,29663,8265,0,0,3552,550,927,0,55.6,Medio,Inversión,409729,Zona Sur-Inversión
Rosa,Ramírez,33,Mujer,México,Soltero,1,0,Empresario,Energía,Mid-Level,Licenciatura,Permanente,11,56,63796,23906,45753,38198,0,0,16351,635,1118,0,71.72,Bajo,Inversión,638621,Zona Sur-Inversión
Andrés,Moreno,56,Hombre,México,Divorciado,2,2,Abogado,Salud,Director,Master,Permanente,34,139,132396,56961,90300,267578,0,0,234239,602,4348,38778,68.2,Alto,Inversión,1959378,Zona Sur-Inversión
José,Muñoz,56,Hombre,México,Soltero,1,0,Contador,Tecnología,Director,Master,Permanente,34,87,116382,119144,126111,72321,0,0,65354,550,2564,0,108.36,Bajo,Vacacional,1608987,Zona Centro-Negocios
Luis,López,33,Hombre,México,Soltero,6,0,Arquitecto,Inmobiliario,Senior,PhD,Temporal,10,91,93169,80830,57773,132700,54828,0,210585,595,3018,23003,62.01,Bajo,Residencia,1052407,Zona Residencial-Accesible
Pedro,Álvarez,56,Hombre,México,Divorciado,4,2,Analista Financiero,Alimentación,C-Level,PhD,Permanente,34,103,276916,295653,57343,433173,0,903433,1574916,662,7251,0,20.71,Alto,Vacacional,5000000,Zona Costa-Premium
Sara,Domínguez,56,Mujer,España,Casado,6,1,Chef Ejecutivo,Salud,Director,Master,Permanente,34,30,112237,119243,179296,227598,0,954325,1121870,567,2216,0,159.75,Alto,Inversión,5000000,Zona Centro-Negocios
Rosa,Gómez,33,Mujer,España,Casado,4,0,Gerente de Proyecto,Energía,Director,Master,Permanente,12,93,159148,122475,75918,214580,0,942909,1204046,846,3808,0,47.7,Medio,Residencia,4482390,Zona Costa-Premium
Laura,Ortiz,61,Mujer,España,Casado,5,0,Chef Ejecutivo,Educación,Director,Licenciatura,Permanente,39,37,147682,285934,24728,363150,0,1099433,1723789,650,4299,0,16.74,Alto,Inversión,5000000,Zona Centro-Negocios
Miguel,Vázquez,56,Hombre,Argentina,Soltero,2,0,Product Manager,Inmobiliario,Director,Licenciatura,Freelance,33,129,141230,230981,131873,185990,14985,0,300083,596,4587,0,93.37,Bajo,Mixto,1627299,Zona Costa-Premium
Alberto,Vázquez,33,Hombre,México,Casado,2,2,Chef Ejecutivo,Legal,Senior,Licenciatura,Permanente,12,127,78027,40326,45527,9790,0,0,4589,550,2557,0,58.35,Bajo,Residencia,891079,Zona Sur-Inversión
Isabel,Vázquez,33,Mujer,España,Soltero,1,0,Farmacéutico,Retail,Director,Master,Permanente,12,19,159015,114363,78967,106826,9280,0,151502,730,3364,0,49.66,Alto,Residencia,1895510,Zona Centro-Negocios
Sara,Alonso,61,Mujer,Chile,Soltero,3,0,Gerente de Proyecto,Construcción,Director,Licenciatura,Permanente,40,54,155838,204186,21794,162957,70527,0,415876,845,3117,11015,13.99,Alto,Inversión,2193125,Zona Sur-Inversión
Elena,Ramos,31,Mujer,España,Divorciado,4,0,Chef Ejecutivo,Finanzas,Mid-Level,Bachillerato,Permanente,10,25,41572,15473,43869,0,0,96522,68126,550,1107,0,105.53,Bajo,Residencia,315497,Zona Sur-Inversión
Isabel,Molina,31,Mujer,México,Divorciado,2,1,Arquitecto,Inmobiliario,Mid-Level,Licenciatura,Permanente,9,154,47368,24343,28171,8597,0,0,4769,550,855,0,59.47,Bajo,Inversión,241360,Zona Tech-Educación
José,Ramos,31,Hombre,España,Casado,2,2,Product Manager,Telecomunicaciones,Senior,Master,Permanente,10,39,121310,41323,37779,0,14494,0,18038,799,3409,0,31.14,Medio,Residencia,803223,Zona Residencial-Accesible
Elena,Ramírez,31,Mujer,Colombia,Soltero,2,0,Farmacéutico,Educación,Mid-Level,Licenciatura,Permanente,9,153,67908,38715,34132,14805,14123,0,33511,550,1799,0,50.26,Medio,Inversión,437733,Zona Residencial-Accesible
Luis,Castro,33,Hombre,Argentina,Casado,1,1,Chef Ejecutivo,Consultoría,Senior,Master,Permanente,10,99,82058,28495,90123,0,22090,0,-39538,570,1783,5197,109.83,Bajo,Vacacional,836269,Zona Sur-Inversión
Pedro,Jiménez,56,Hombre,Chile,Divorciado,3,3,Farmacéutico,Legal,Director,PhD,Temporal,34,7,130396,82158,157001,260129,0,0,185286,550,2633,0,120.4,Medio,Residencia,1340760,Zona Sur-Inversión
Carlos,López,56,Hombre,USA (Miami),Soltero,2,0,Abogado,Alimentación,Director,Licenciatura,Permanente,35,107,124007,235256,48411,85639,20910,0,293394,673,4127,0,39.04,Medio,Mixto,1567623,Zona Centro-Negocios
José,Ortiz,31,Hombre,Colombia,Soltero,4,0,Analista Financiero,Consultoría,Senior,Master,Permanente,9,144,95509,17626,18938,12407,21641,0,32736,742,2233,0,19.83,Bajo,Inversión,527100,Zona Sur-Inversión
Lucía,Alonso,56,Mujer,Chile,Divorciado,5,1,Diseñador,Consultoría,Director,Licenciatura,Permanente,33,33,104129,73733,118075,242833,0,0,198491,604,2838,0,113.39,Medio,Residencia,1314190,Zona Centro-Negocios
Rafael,Álvarez,33,Hombre,España,Casado,1,1,Farmacéutico,Energía,Senior,Master,Permanente,10,47,68039,35536,87459,0,0,0,-51923,558,1966,0,128.54,Medio,Inversión,702692,Zona Centro-Negocios
Pedro,Jiménez,33,Hombre,España,Soltero,6,0,Data Scientist,Finanzas,Senior,Licenciatura,Permanente,12,147,101242,60771,90709,20922,0,0,-9016,595,3233,7079,89.6,Bajo,Vacacional,1110139,Zona Residencial-Accesible
Raquel,Jiménez,33,Mujer,Venezuela,Soltero,5,0,Analista Financiero,Tecnología,Director,PhD,Permanente,12,162,203900,128604,54979,287331,0,0,360956,744,5823,0,26.96,Medio,Inversión,2367158,Zona Centro-Negocios
Alberto,Martín,56,Hombre,Perú,Divorciado,3,2,Desarrollador,Construcción,C-Level,PhD,Permanente,34,175,185341,259140,145067,419594,0,0,533667,714,5821,0,78.27,Alto,Inversión,2407882,Zona Sur-Inversión
Alberto,Rubio,33,Hombre,México,Casado,4,1,Product Manager,Tecnología,Mid-Level,Licenciatura,Permanente,11,29,66239,38182,39620,32116,0,0,30678,622,1451,0,59.81,Medio,Inversión,585492,Zona Residencial-Accesible
Patricia,López,31,Mujer,España,Soltero,1,0,Data Scientist,Construcción,Mid-Level,Licenciatura,Temporal,8,132,53097,25868,41921,0,0,0,-16053,662,946,0,78.95,Bajo,Inversión,395605,Zona Tech-Educación
Alberto,Domínguez,33,Hombre,USA (Miami),Divorciado,6,3,Ingeniero Software,Inmobiliario,Director,Master,Permanente,12,22,117485,55980,89999,16923,0,0,-17096,708,2847,0,76.6,Bajo,Mixto,1109453,Zona Residencial-Accesible
Sergio,Ramos,56,Hombre,España,Casado,2,1,Product Manager,Salud,Director,Master,Temporal,34,28,135665,158191,74527,159078,34698,644941,922381,687,4109,0,54.93,Alto,Inversión,4028120,Zona Costa-Premium
Fernando,Blanco,56,Hombre,España,Soltero,5,0,Médico,Energía,C-Level,PhD,Permanente,33,42,304878,482931,88032,253333,99027,1508368,2255627,689,7875,77883,28.87,Alto,Inversión,5000000,Zona Centro-Negocios
Andrés,Hernández,31,Hombre,Argentina,Casado,2,3,Marketing Manager,Retail,Senior,Master,Permanente,8,175,73615,29308,18156,5745,0,0,16897,595,1977,0,24.66,Bajo,Inversión,551475,Zona Sur-Inversión
Sara,Castro,31,Mujer,España,Soltero,4,0,Arquitecto,Aeroespacial,Senior,Master,Permanente,9,178,72270,19051,27160,19417,0,0,11308,648,1835,0,37.58,Bajo,Vacacional,366953,Zona Tech-Educación
Teresa,Rubio,56,Mujer,España,Casado,2,0,Data Scientist,Educación,Director,Master,Freelance,33,94,186286,126337,49430,115837,0,880161,1072905,829,3191,0,26.53,Alto,Residencia,4561545,Zona Centro-Negocios
Silvia,Ruiz,56,Mujer,Chile,Soltero,2,0,Ingeniero Software,Legal,Director,Licenciatura,Permanente,33,13,113895,140877,90552,269419,53938,570075,943757,595,2556,6198,79.5,Alto,Residencia,4327216,Zona Costa-Premium
Cristina,Vázquez,33,Mujer,España,Soltero,5,0,Director Comercial,Aeroespacial,Senior,PhD,Temporal,11,12,129283,131779,94340,123850,8404,0,169693,707,3530,0,72.97,Medio,Vacacional,1345233,Zona Centro-Negocios
